Year,City,Stadium,Latitude,Longitude
1896,Athens,Panathenaic Stadium,37.9683342,23.7411118
1900,Paris,Vincennes Velodrome,48.8263552,2.4117126
1904,St. Louis,Francis Field,38.6478953,-90.3137516
1908,London ,White City Stadium,51.51362,-0.2274
1912,Stockholm ,Stockholm Olympic Stadium (Stockholms Olympiastadion),59.3453364,18.0790178
1920,Antwerp ,Olympic Stadium (Olympisch Stadion),52.3434197,4.8541297
1924,Paris ,Stade Olympique Yves-du-Manoir,48.9292771,2.2477717
1928,Amsterdam,Olympic Stadium (Olympisch Stadion),52.3434197,4.8541297
1932,Los Angeles,Los Angeles Memorial Coliseum,34.0140526,-118.2878754
1936,Berlin ,Olympic Stadium (Olympiastadion),52.5146971,13.2394987
1948,London,Wembley Stadium (known as the Empire Stadium),51.5560208,-0.2795188
1952,Helsinki ,Olympic Stadium (Olympiastadion),52.5146971,13.2394987
1956,Melbourne ,Melbourne Cricket Ground (MCG),-37.8199669,144.9834493
1960,Rome,Olympic Stadium (Stadio Olimpico),41.934077,12.454725
1964,Tokyo,National Stadium,38.8730102,-77.0074329
1968,Mexico City ,Olympic Stadium (Estadio Olímpico Universitario),19.3319125,-99.1921777
1972,Munich ,Olympic Stadium (Olympiastadion),52.5146971,13.2394987
1976,Montreal ,Olympic Stadium (Stade Olympique),45.5579957,-73.5518816
1980,Moscow,Grand Sports Arena of the Luzhniki Olympic Complex,55.715762,37.5537157
1984,Los Angeles ,Los Angeles Memorial Coliseum,34.0140526,-118.2878754
1988,Seoul ,Olympic Stadium,45.5579957,-73.5518816
1992,Barcelona ,Olympic Stadium (Estadio Olímpico Lluís Companys),41.3647481,2.1556704
1996,Atlanta ,Centennial Olympic Stadium,33.7618207,-84.3945295
2000,Sydney,Stadium Australia,-33.8471156,151.0634135
2004,Athens ,Olympic Stadium,45.5579957,-73.5518816
2008,Beijing ,Beijing National Stadium,39.9929431,116.3965112
2012,London ,Olympic Stadium,45.5579957,-73.5518816
2016,Rio de Janeiro ,Maracanã Stadium (Estádio do Maracanã),-22.9121089,-43.2301558
2020,Tokyo ,New National Stadium,35.6778952,139.7145468
2024,France,Stade de France,48.9244592,2.3601645
2028,Los Angeles ,Los Angeles Memorial Coliseum,34.0140526,-118.2878754